IDENTIFICADOR_EMPRESA,EMPRESA,FECHA,ANIO,TRIMESTRE,HORA,COD_DANE,DEPARTAMENTO,MUNICIPIO,CENTRO_POBLADO,UBICACION,SEXO,EDAD,TIPO_IDENTIFICACION,VINCULADO_EMPRESA,TIPO_VINCULACION,GRADO_ESCOLARIDAD,TIEMPO_VINCULACION,SECCION_EMPRESA,TIPO_LESION,ORIGEN_ACCIDENTE,CAUSA_ACCIDENTE,MEDIDAS
2073.0,EMPRESA DE ENERGÍA DE PEREIRA S.A. ESP.,01/23/2017,2017,1,12:30,66001000,RISARALDA,PEREIRA,PEREIRA,SECTOR URBANO,M,46,C.C.,N,NO APLICA,BACHILLER,11111,Otro - Distribución,Muerte,Violación de distancias de seguridad,Contacto Indirecto,ENTREGA DE CARTILLAS DE SEGURIDAD A LOS USUARIOS
600.0,ELECTRIFICADORA DEL META S.A. E.S.P.,11/19/2018,2018,4,08:03,50689000,META,SAN MARTIN,SAN MARTIN,SECTOR URBANO,M,1,N.N.,N,NO APLICA,OTRO,11111,,Quemaduras,Violación de distancias de seguridad,Contacto Directo,CARTILLA DE SEGURIDAD DEL USUARIO
2438.0,EMPRESAS MUNICIPALES DE CALI   E.I.C.E  E.S.P,11/15/2017,2017,4,13:00,76892000,VALLE DEL CAUCA,YUMBO,YUMBO,SECTOR URBANO,M,1,N.N.,N,NO APLICA,OTRO,11111,Otro - Distribución,Otra,Violación de distancias de seguridad,Contacto Indirecto,NA
2371.0,EMPRESA DE ENERGIA DEL BAJO PUTUMAYO  S.A.  E.S.P.,02/11/2012,2012,1,17:30,86569003,PUTUMAYO,PUERTO CAICEDO,EL CEDRAL,ZONA RURAL DISPERSA,M,29,C.C.,S,PLANTA,TECNÓLOGO,16,Otro - Distribución,Otra,Otra,Otra,39
564.0,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,01/10/2012,2012,1,17:17,05088000,ANTIOQUIA,BELLO,BELLO,SECTOR URBANO,M,99,N.N.,N,NO APLICA,OTRO,11111,Otro - Distribución,Otra,Violación de distancias de seguridad,Arcod Eléctricos,Campana por radio y television  uso seguro de la electricidad
564.0,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,01/10/2012,2012,1,17:17,05088000,ANTIOQUIA,BELLO,BELLO,SECTOR URBANO,M,99,N.N.,N,NO APLICA,OTRO,11111,Otro - Distribución,Otra,Violación de distancias de seguridad,Arcod Eléctricos,Campana por radio y television  uso seguro de la electricidad
2249.0,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,03/01/2013,2013,1,19:05,80010000,,,,SECTOR URBANO,F,9,T.I.,N,NO APLICA,OTRO,11111,Mantenimiento - Distribución,Otra,Fallas de Instalación,Contacto Directo,Se cambian 2 postes de madera por unos de concreto de mayor capacidad retirando la retenida se adecua tramo de red bt
600.0,ELECTRIFICADORA DEL META S.A. E.S.P.,10/16/2018,2018,4,12:56,50001000,META,VILLAVICENCIO,VILLAVICENCIO,SECTOR URBANO,M,1,N.N.,N,NO APLICA,OTRO,11111,,Quemaduras,Violación de distancias de seguridad,Contacto Directo,CARTILLA DE SEGURIDAD DEL USUARIO
2249.0,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,08/03/2014,2014,4,12:00,70001000,SUCRE,SINCELEJO,SINCELEJO,SECTOR URBANO,M,3,OTRO,N,NO APLICA,OTRO,11111,Otro - Distribución,Derivadas,Fallas de aislamiento,Contacto Directo,Se aislo el electrodomestico que hacia energizar el neutro de todo el transformador
1014.0,ELECTRIFICADORA DEL HUILA S.A. E.S.P.,12/08/2017,2017,4,12:00,41001000,HUILA,NEIVA,NEIVA,ZONA RURAL DISPERSA,M,58,C.C.,N,NO APLICA,BÁSICA PRIMARIA,11111,Otro - Distribución,Muerte,Apertura interruptores con carga,Contacto Indirecto,Sensibilizacion a la comunidad  frente a peligros de la corriente
2073.0,EMPRESA DE ENERGÍA DE PEREIRA S.A. ESP.,10/16/2013,2013,4,11:00,66001000,RISARALDA,PEREIRA,PEREIRA,SECTOR URBANO,M,37,N.N.,N,NO APLICA,OTRO,11111,,Electrólisis,Violación de distancias de seguridad,Contacto Indirecto,DISENO Y ENTREGA CARTILLA DE SEGURIDAD DEL USUARIO
23442.0,COMPAÑIA ENERGETICA DE OCCIDENTE S.A.S.  E.S.P.,06/28/2017,2017,2,10:22,19455000,CAUCA,MIRANDA,MIRANDA,ZONA RURAL DISPERSA,M,35,N.N.,N,NO APLICA,OTRO,11111,Otro - Distribución,Muerte,Violación de distancias de seguridad,Contacto Indirecto,Siendo las 12 y 12 del medio dia se energiza el circuito Urbano Miranda bajo la incidencia 4637149 quedando abierto arranque hacia el sector del incidente Finalmente a las 4 y 20 pm se concluye la labor y una vez realizada la verificacion del estado de la red en coordinacion con el Centro de Control se restablece el servicio
2249.0,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,08/28/2016,2016,4,10:50,44001000,LA GUAJIRA,RIOHACHA,RIOHACHA,SECTOR URBANO,M,44,C.C.,N,NO APLICA,OTRO,11111,Mantenimiento - Distribución,Otra,Impericia en operación,Contacto Directo,Se reviso el sector y no se encontro ninguna linea en el suelo
2073.0,EMPRESA DE ENERGÍA DE PEREIRA S.A. ESP.,09/07/2012,2012,3,13:22,66001000,RISARALDA,PEREIRA,PEREIRA,SECTOR URBANO,M,37,C.C.,N,NO APLICA,BACHILLER,11111,,Electrólisis,Violación de distancias de seguridad,Contacto Indirecto,GUARDAR DISTANCIAS DE SEGURIDAD
2438.0,EMPRESAS MUNICIPALES DE CALI   E.I.C.E  E.S.P,02/23/2015,2015,1,09:53,76001000,VALLE DEL CAUCA,CALI,SANTIAGO DE CALI,SECTOR URBANO,M,1,N.N.,N,NO APLICA,OTRO,11111,Otro - Distribución,Quemaduras,Violación de distancias de seguridad,Contacto Indirecto,NA
2103.0,CODENSA S.A. ESP,11/29/2015,2015,4,19:10,25175000,CUNDINAMARCA,CHIA,CHIA,SECTOR URBANO,M,49,C.C.,N,NO APLICA,BACHILLER,11111,Mantenimiento - Distribución,Quemaduras,Otra,Contacto Directo,Capacitacion y revision de procesos y procedimientos
2438.0,EMPRESAS MUNICIPALES DE CALI   E.I.C.E  E.S.P,05/02/2019,2019,2,13:36,76001000,VALLE DEL CAUCA,CALI,SANTIAGO DE CALI,SECTOR URBANO,M,1,C.C.,N,NO APLICA,OTRO,11111,Otro - Distribución,Otra,Violación de distancias de seguridad,Contacto Indirecto,NA
2371.0,EMPRESA DE ENERGIA DEL BAJO PUTUMAYO  S.A.  E.S.P.,11/29/2015,2015,4,11:00,86569000,PUTUMAYO,PUERTO CAICEDO,PUERTO CAICEDO,SECTOR URBANO,M,33,C.C.,S,PLANTA,TECNÓLOGO,9,Mantenimiento - Distribución,Otra,Otra,Otra,9
2438.0,EMPRESAS MUNICIPALES DE CALI   E.I.C.E  E.S.P,06/18/2014,2014,2,15:53,76001000,VALLE DEL CAUCA,CALI,SANTIAGO DE CALI,SECTOR URBANO,M,1,N.N.,N,NO APLICA,OTRO,11111,Otro - Distribución,Otra,Violación de distancias de seguridad,Contacto Indirecto,NA
564.0,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,08/21/2013,2013,3,09:15,05360000,ANTIOQUIA,ITAGUI,ITAGUI,ZONA RURAL DISPERSA,M,28,C.C.,N,NO APLICA,BÁSICA PRIMARIA,11111,Otro - Distribución,Quemaduras,Violación de distancias de seguridad,Contacto Directo,Educiacion y socializacion frente al cuidado que hay que tener con las redes electricas
2249.0,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,05/18/2011,2011,2,12:26,47189000,MAGDALENA,CIENAGA,CIENAGA,ZONA RURAL DISPERSA,F,53,N.N.,N,NO APLICA,OTRO,11111,Otro - Comercialización,Quemaduras,Fallas de mantenimiento,Contacto Directo,Se realizo cambio de conectores de perforaciï¿¿n en los bajantes del transformador que alimenta el sector.  Los trabajos fueron realizados el dï¿¿a 17/05/2011 a las 14:45 por la BOL en turno C4-9.
536.0,CELSIA COLOMBIA S.A. E.S.P.,06/23/2013,2013,2,17:20,76111000,VALLE DEL CAUCA,GUADALAJARA DE BUGA,GUADALAJARA DE BUGA,SECTOR URBANO,M,24,C.C.,N,NO APLICA,BACHILLER TÉCNICO,11111,Mantenimiento - Distribución,Otra,Fallas de operación,Tensión de Paso,Instalar sistemas de puesta a tierra
2249.0,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,10/12/2013,2013,4,12:00,47189000,MAGDALENA,CIENAGA,CIENAGA,SECTOR URBANO,F,2,OTRO,N,NO APLICA,OTRO,11111,Mantenimiento - Distribución,Quemaduras,Otra,Contacto Directo,Se retiro una acometida antitecnica con cable sin aislmiento instalada por terceros que energizo la retenida
23442.0,COMPAÑIA ENERGETICA DE OCCIDENTE S.A.S.  E.S.P.,09/03/2010,2010,3,10:30,19473000,CAUCA,MORALES,MORALES,ZONA RURAL DISPERSA,M,36,C.C.,S,CONTRATISTA,TÉCNICO,5,Mantenimiento - Distribución,Quemaduras,Violación de distancias de seguridad,Contacto Indirecto,capacitaciones reentrenamiento implementacion de procedimientos seguros
524.0,ELECTRIFICADORA DE SANTANDER S.A. E.S.P.,10/10/2016,2016,4,18:30,68001000,SANTANDER,BUCARAMANGA,BUCARAMANGA,ZONA RURAL DISPERSA,M,43,C.C.,S,PLANTA,TECNÓLOGO,53,Mantenimiento - Distribución,Conjuntivitis,Otra,Arcod Eléctricos,socializar leccion aprendida actualizar procedimiento y estandarizar uso de equipo de medicion
564.0,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,06/21/2012,2012,2,11:55,05390000,ANTIOQUIA,LA PINTADA,LA PINTADA,SECTOR URBANO,M,41,C.C.,N,NO APLICA,BÁSICA PRIMARIA,11111,Otro - Distribución,Quemaduras,Violación de distancias de seguridad,Contacto Indirecto,Campana por radio y television  uso seguro de la electricidad
2371.0,EMPRESA DE ENERGIA DEL BAJO PUTUMAYO  S.A.  E.S.P.,07/20/2012,2012,3,17:20,86568000,PUTUMAYO,PUERTO ASIS,PUERTO ASIS,ZONA RURAL DISPERSA,M,28,C.C.,S,PLANTA,TECNÓLOGO,15,Otro - Distribución,Otra,Otra,Otra,39
564.0,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,02/10/2016,2016,1,11:34,05861000,ANTIOQUIA,VENECIA,VENECIA,ZONA RURAL DISPERSA,M,59,C.C.,N,NO APLICA,OTRO,11111,Mantenimiento - Distribución,Quemaduras,Violación de distancias de seguridad,Contacto Directo,CAMPANA POR RADIO Y TELEVISION  USO SEGURO DE LA ELECTRICIDAD
2438.0,EMPRESAS MUNICIPALES DE CALI   E.I.C.E  E.S.P,03/30/2012,2012,1,12:16,76001000,VALLE DEL CAUCA,CALI,SANTIAGO DE CALI,SECTOR URBANO,M,41,N.N.,N,NO APLICA,TÉCNICO,11111,Otro - Distribución,Quemaduras,Violación de distancias de seguridad,Contacto Indirecto,NO REQUIERE
23442.0,COMPAÑIA ENERGETICA DE OCCIDENTE S.A.S.  E.S.P.,04/05/2015,2015,2,14:43,19821000,CAUCA,TORIBIO,TORIBIO,ZONA RURAL DISPERSA,M,14,N.N.,N,NO APLICA,OTRO,11111,Otro - Distribución,Muerte,Desatención de normas técnicas,Contacto Directo,Realizar campanas de sensibilizacion de riesgo electrico en instalaciones internas y de red Estas campanas se manejan por medio de mensajes al reverso de cada factura mensual
2249.0,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,08/08/2019,2019,3,09:41,20001000,CESAR,VALLEDUPAR,VALLEDUPAR,CENTRO POBLADO,M,36,C.C.,N,NO APLICA,BÁSICA PRIMARIA,11111,Mantenimiento - Distribución,Quemaduras,Otra,Contacto Indirecto,Se retira tramo de red de baja tension instalada
564.0,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,11/08/2012,2012,4,16:00,05895000,ANTIOQUIA,ZARAGOZA,ZARAGOZA,ZONA RURAL DISPERSA,M,11,N.N.,N,NO APLICA,OTRO,11111,Otro - Distribución,Quemaduras,Violación de distancias de seguridad,Contacto Directo,Campana por radio y television  uso seguro de la electricidad
2249.0,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,06/25/2014,2014,2,17:00,47707000,MAGDALENA,SANTA ANA,SANTA ANA,SECTOR URBANO,M,60,N.N.,N,NO APLICA,OTRO,11111,Mantenimiento - Distribución,Quemaduras,Fallas de operación,Contacto Indirecto,Desenergizar circuito con el fin de aislar volqueta
637.0,COMPAÑÍA DE ELECTRICIDAD DE TULUÁ S.A. E.S.P.,12/01/2013,2013,4,14:00,76834000,VALLE DEL CAUCA,TULUA,TULUA,SECTOR URBANO,M,25,C.C.,N,NO APLICA,BACHILLER,11111,Mantenimiento - Distribución,Quemaduras,Desatención de normas técnicas,Contacto Directo,Jornadas de capacitacion al personal de Planeacion Curaduria y Personeria municipal
2249.0,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,01/02/2017,2017,2,17:30,70820000,SUCRE,SANTIAGO DE TOLU,SANTIAGO DE TOLU,CENTRO POBLADO,M,11,T.I.,N,NO APLICA,BÁSICA PRIMARIA,11111,Mantenimiento - Distribución,Quemaduras,Fallas de Instalación,Contacto Directo,Se procedio a efectuar un mantenimiento correctivo a las redes de baja tension inmediatamente
2438.0,EMPRESAS MUNICIPALES DE CALI   E.I.C.E  E.S.P,11/03/2011,2011,4,10:30,76001000,VALLE DEL CAUCA,CALI,SANTIAGO DE CALI,SECTOR URBANO,M,35,N.N.,N,NO APLICA,OTRO,11111,Otro - Distribución,Tetanización,Violación de distancias de seguridad,Contacto Indirecto,COORDINAR TRABAJOS DE PERSONAL DE  ETB COM EMCALI
2249.0,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,05/13/2014,2014,2,11:00,44378000,LA GUAJIRA,HATONUEVO,HATONUEVO,ZONA RURAL DISPERSA,M,53,C.C.,N,NO APLICA,OTRO,11111,Mantenimiento - Distribución,Tetanización,Falta conductor puesta a tierra,Contacto Directo,Se aislo la retenida secundaria del sistema de puesta a tierra
2073.0,EMPRESA DE ENERGÍA DE PEREIRA S.A. ESP.,06/17/2013,2013,2,10:00,66001000,RISARALDA,PEREIRA,PEREIRA,SECTOR URBANO,M,26,C.C.,N,NO APLICA,PROFESIONAL,11111,,Quemaduras,Violación de distancias de seguridad,Contacto Indirecto,DISENO Y ENTREGA CARTILLA DE SEGURIDAD DEL USUARIO
2249.0,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,11/30/2018,2018,4,08:48,47555000,MAGDALENA,PLATO,PLATO,SECTOR URBANO,M,55,OTRO,N,NO APLICA,OTRO,11111,Mantenimiento - Distribución,Tetanización,Fallas de aislamiento,Contacto Indirecto,Se retira retenida en mal estado
2438.0,EMPRESAS MUNICIPALES DE CALI   E.I.C.E  E.S.P,10/01/2013,2013,4,09:29,76001000,VALLE DEL CAUCA,CALI,SANTIAGO DE CALI,SECTOR URBANO,M,1,C.C.,N,NO APLICA,OTRO,11111,Otro - Distribución,Quemaduras,Accidentes externos,Contacto Indirecto,NA
2249.0,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,05/05/2017,2017,4,18:30,47980004,MAGDALENA,ZONA BANANERA,ORIHUECA,CENTRO POBLADO,M,4,OTRO,N,NO APLICA,OTRO,11111,Labores de Comercialización,Muerte,Fallas de aislamiento,Contacto Directo,Se debe realizar mantenimiento a las instalaciones internas electricas del predio
2073.0,EMPRESA DE ENERGÍA DE PEREIRA S.A. ESP.,11/18/2016,2016,4,10:00,66001000,RISARALDA,PEREIRA,PEREIRA,SECTOR URBANO,F,24,C.C.,N,NO APLICA,BACHILLER,11111,Otro - Distribución,Otra,Violación de distancias de seguridad,Contacto Indirecto,ENTREGA DE CARTILLAS DE SEGURIDAD A LOS USUARIOS
2249.0,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,07/26/2010,2010,3,19:53,44560009,LA GUAJIRA,MANAURE,LA GLORIA,ZONA RURAL DISPERSA,M,8,OTRO,N,NO APLICA,BÁSICA PRIMARIA,11111,Mantenimiento - Distribución,Tetanización,Fallas de aislamiento,Contacto Directo,39
600.0,ELECTRIFICADORA DEL META S.A. E.S.P.,05/10/2012,2012,2,08:00,50006000,META,ACACIAS,ACACIAS,SECTOR URBANO,M,28,C.C.,N,NO APLICA,OTRO,11111,Otro - Distribución,Muerte,Violación de distancias de seguridad,Contacto Directo,MANUAL DEL CABLEOPERADOR PARA OPERAR LA INFRAESTRUCTURA DE SDL Y STR DE LA EMSA
23442.0,COMPAÑIA ENERGETICA DE OCCIDENTE S.A.S.  E.S.P.,12/03/2016,2016,4,17:00,19585000,CAUCA,PURACE,COCONUCO,ZONA RURAL DISPERSA,M,33,C.C.,N,NO APLICA,OTRO,11111,Otro - Comercialización,Muerte,Violación de áreas restringidas,Contacto Directo,Cerca al punto donde paso el accidente existe un poste normalizado PA 9089470 a 20 metros aproximadamente el cual una vez se aprobara la energizacion FAER del transformador podria tomar su servicio Estas redes artesanales fueron suspendidas por la brigada punto de conexion 3067980 se resalta que en la inspeccion una de los fusibles en el seccionador se acciono
2249.0,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,07/24/2012,2012,4,16:48,70823000,SUCRE,TOLU VIEJO,TOLU VIEJO,CENTRO POBLADO,F,8,N.N.,N,NO APLICA,PROFESIONAL,11111,Mantenimiento - Distribución,Tetanización,Fallas de Instalación,Tensión Contacto,Se procedio a retensionar linea mensajera de Edatel
2249.0,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,11/19/2017,2017,4,23:00,20001000,CESAR,VALLEDUPAR,VALLEDUPAR,SECTOR URBANO,F,3,OTRO,N,NO APLICA,OTRO,11111,Otro - Distribución,Quemaduras,Otra,Contacto Directo,No aplica El operador de Red no actuo debido a que no encontro en su momento situacion de riesgo
1846.0,EMPRESA DE ENERGIA DEL VALLE DE SIBUNDOY S.A. E.S.P.,03/02/2012,2012,1,08:15,86749000,PUTUMAYO,SIBUNDOY,SIBUNDOY,SECTOR URBANO,M,47,C.C.,S,PLANTA,TÉCNICO,168,Operación - Distribución,Otra,Otra,Otra,correctivas
1014.0,ELECTRIFICADORA DEL HUILA S.A. E.S.P.,04/17/2013,2013,2,14:30,41551000,HUILA,PITALITO,PITALITO,SECTOR URBANO,M,25,C.C.,N,NO APLICA,BÁSICA PRIMARIA,11111,Otro - Distribución,Muerte,Violación de distancias de seguridad,Contacto Directo,sensibilizacion a la comunidad  frente a los peligros de la corriente
2249.0,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,12/18/2016,2017,4,14:00,70670000,SUCRE,SAMPUES,SAMPUES,CENTRO POBLADO,M,21,C.C.,N,NO APLICA,BACHILLER,11111,Otro - Distribución,Muerte,Accidentes externos,Contacto Directo,LOS OPERARRIOS DE LECTRICARIBE COMOMMEDIDA PREVENTIVA RETIRARON LOS CABLES DE LA RED DE BAJA TENSION QUE SE ENCONTRABAN EN EL SUELO
604.0,CENTRALES ELECTRICAS DEL NORTE DE SANTANDER S.A. ESP,06/07/2012,2012,2,06:30,54553000,NORTE DE SANTANDER,PUERTO SANTANDER,PUERTO SANTANDER,ZONA RURAL DISPERSA,F,35,C.C.,N,NO APLICA,OTRO,11111,Otro - Distribución,Muerte,Desatención de normas técnicas,Tensión Contacto,Sensibilizacion y socializacion con la comunidad sobre la no manipulacion de las redes electricas y la no instalacion fraudulenta de acometidas y otros elementos
2249.0,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,08/20/2011,2011,3,14:47,44378000,LA GUAJIRA,HATONUEVO,HATONUEVO,SECTOR URBANO,M,1,N.N.,N,NO APLICA,OTRO,11111,Mantenimiento - Distribución,Quemaduras,Fallas de aislamiento,Contacto Directo,SE AISLï¿¿ RETENIDA SECUNDARIA.
2371.0,EMPRESA DE ENERGIA DEL BAJO PUTUMAYO  S.A.  E.S.P.,02/28/2011,2011,2,10:30,86320001,PUTUMAYO,ORITO,LA TESALIA,ZONA RURAL DISPERSA,M,39,C.C.,S,PLANTA,BACHILLER,25,Operación - Distribución,Otra,Otra,Otra,39
604.0,CENTRALES ELECTRICAS DEL NORTE DE SANTANDER S.A. ESP,06/24/2013,2013,2,09:30,54239003,NORTE DE SANTANDER,DURANIA,LA CUCHILLA,ZONA RURAL DISPERSA,M,33,N.N.,N,NO APLICA,OTRO,11111,Otro - Distribución,Muerte,Fallas de aislamiento,Contacto Directo,SocializaciondelRiesgoElectricoydelaccidenteenreuniondejefaturadeturnoysolicitudderevisionyoajustedeproteccionescircuitoPALDONJUANA
2249.0,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,04/23/2017,2017,4,18:00,47745000,MAGDALENA,SITIONUEVO,SITIONUEVO,SECTOR URBANO,M,23,OTRO,N,NO APLICA,OTRO,11111,Mantenimiento - Distribución,Muerte,Accidentes externos,Contacto Directo,Se realiza inspeccion tecnica y se recomienda a los usuarios solicitar estos trbajos de poda a la compania para ser realizados por las brigadas del sector
2249.0,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,11/29/2013,2013,4,16:30,20013000,CESAR,AGUSTIN CODAZZI,AGUSTIN CODAZZI,SECTOR URBANO,M,47,C.C.,N,NO APLICA,BÁSICA PRIMARIA,11111,Operación - Distribución,Traumatismos,Otra,Otra,Se procedio a reparar la linea averiada
564.0,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,09/30/2010,2010,3,10:30,05376000,ANTIOQUIA,LA CEJA,LA CEJA,ZONA RURAL DISPERSA,M,36,C.C.,S,CONTRATISTA,BACHILLER,11111,Otro - Comercialización,Quemaduras,Desatención de normas técnicas,Contacto Directo,2
2371.0,EMPRESA DE ENERGIA DEL BAJO PUTUMAYO  S.A.  E.S.P.,05/10/2012,2012,2,15:00,86865000,PUTUMAYO,VALLE DEL GUAMUEZ,LA HORMIGA,ZONA RURAL DISPERSA,M,43,C.C.,S,PLANTA,BACHILLER,29,Otro - Distribución,Otra,Otra,Otra,39
524.0,ELECTRIFICADORA DE SANTANDER S.A. E.S.P.,07/11/2017,2017,3,11:39,68679000,SANTANDER,SAN GIL,SAN GIL,SECTOR URBANO,M,40,C.C.,N,NO APLICA,OTRO,11111,Otro - Distribución,Quemaduras,Accidentes externos,Contacto Directo,inspeccion en sitio
2249.0,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,02/04/2013,2013,1,01:24,47001027,MAGDALENA,SANTA MARTA,MARKETALIA (PALOMINITO),CENTRO POBLADO,M,43,OTRO,N,NO APLICA,OTRO,11111,Mantenimiento - Distribución,Quemaduras,Violación de distancias de seguridad,Contacto Directo,No se realizo medida ya que no hubo ninguna falla evidente en el circuito El accidentado violo la distancia de seguridad de la red de media tension
604.0,CENTRALES ELECTRICAS DEL NORTE DE SANTANDER S.A. ESP,11/10/2013,2013,4,10:24,54553000,NORTE DE SANTANDER,PUERTO SANTANDER,PUERTO SANTANDER,SECTOR URBANO,F,56,N.N.,N,NO APLICA,OTRO,11111,,Muerte,Fallas a tierra,Contacto Indirecto,Son a cargo del usuario  el dano presentado no esta bajo responsabilidad de CENS este realizo campanas de promocion y prevencion hacia el riesgo electrico
